cartodb_id,country,id_1,slug,state
16,Indonesia,1,indonesia-aceh,Aceh
2,Indonesia,31,indonesia-sumaterabarat,Sumatera Barat
8,Indonesia,34,indonesia-yogyakarta,DI Yogyakarta
20,Indonesia,33,indonesia-sumaterautara,Sumatera Utara
7,Indonesia,3,indonesia-bangkabelitung,Kepulauan Bangka Belitung
5,Indonesia,7,indonesia-irianjayabarat,Papua Barat
4,Indonesia,12,indonesia-jawatimur,Jawa Timur
10,Indonesia,13,indonesia-kalimantanbarat,Kalimantan Barat
3,Indonesia,14,indonesia-kalimantanselatan,Kalimantan Selatan
6,Indonesia,16,indonesia-kalimantantimur,Kalimantan Timur
9,Indonesia,18,indonesia-kepulauanriau,Kepulauan Riau
11,Indonesia,19,indonesia-lampung,Lampung
14,Indonesia,21,indonesia-maluku,Maluku
19,Indonesia,20,indonesia-malukuutara,Maluku Utara
15,Indonesia,22,indonesia-nusatenggarabarat,Nusa Tenggara Barat
29,Indonesia,23,indonesia-nusatenggaratimur,Nusa Tenggara Timur
1,Indonesia,24,indonesia-papua,Papua
12,Indonesia,25,indonesia-riau,Riau
18,Indonesia,27,indonesia-sulawesiselatan,Sulawesi Selatan
24,Indonesia,5,indonesia-bengkulu,Bengkulu
26,Indonesia,28,indonesia-sulawesitengah,Sulawesi Tengah
27,Indonesia,30,indonesia-sulawesiutara,Sulawesi Utara
28,Indonesia,29,indonesia-sulawesitenggara,Sulawesi Tenggara
31,Indonesia,2,indonesia-bali,Bali
30,Indonesia,4,indonesia-banten,Banten
32,Indonesia,6,indonesia-gorontalo,Gorontalo
25,Indonesia,8,indonesia-jakartaraya,DKI Jakarta
34,Indonesia,9,indonesia-jambi,Jambi
22,Indonesia,10,indonesia-jawabarat,Jawa Barat
23,Indonesia,11,indonesia-jawatengah,Jawa Tengah
33,Indonesia,15,indonesia-kalimantantengah,Kalimantan Tengah
17,Indonesia,26,indonesia-sulawesibarat,Sulawesi Barat
21,Indonesia,32,indonesia-sumateraselatan,Sumatera Selatan
13,Indonesia,17,indonesia-kalimantanutara,Kalimantan Utara
